Colony,Block,Treatment,Position,Direction,X,Y,Time_days,Bifurcations,Zooids,rgr40,Offspring,Samples,Survival
24a,2,far,B,C,60,0,all,,,,0,0,0
25b,1,near,H,N,30,0.15,all,,,0.092256962,764,170,1
26a,4,far,B,C,120,0,all,,,0.08066165,1266,239,1
27b,1,both,E,N,10,0.15,all,,,,0,0,0
28a,2,near,G,C,70,0,all,,,0.101288166,1394,185,1
29b,1,far,C,S,0,-1,all,,,0.09454324,1244,211,1
30a,3,both,F,N,110,1,all,,,0.086780886,1367,236,1
31a,2,alone,A,C,50,0,all,,,0.082232494,770,249,1
32a,2,near,H,S,70,-0.15,all,,,0.100433159,585,93,1
34b,1,far,B,C,0,0,all,,,0.067970456,222,129,1
